handle,slug,host_url,owner_id,chn_id
AnnCoulter,Mirror,https://AnnCoulter.com,5b026f2e-59c9-447d-a9a2-aff3aff3bcb0,fac38881-8aa9-4898-af70-059065880658
TheAmericanConservative,Mirror,https://TheAmericanConservative.com,93a89ac6-f558-46d6-9c14-dd0d6fd90fb9,19083053-cb22-477a-b4a8-89f2706cabae
REMIX,Mirror,https://RMX.news,3bf504bf-f2e9-4c19-8a54-c2dc278af599,7b07c090-753a-4536-b7e0-fa7185defa53
NeonRevolt,Mirror,https://NeonRevolt.com,d9ce0e7a-a4d8-4912-a177-95322c0909fd,ade774a8-7690-41ce-b8f9-87821b9fa228
TheDuran,Mirror,https://TheDuran.com,b5dfa2a0-1951-4497-ad8e-8bac075aa1dc,b98514ef-796a-4bc9-b117-ab33c4c7080e
TheSaker,Mirror,https://TheSaker.is,0071fa47-8c57-4a2e-b274-0b8505ceed04,a068c38c-d0d1-4531-bc56-1ad09c29420c
Sonar21,Mirror,https://Sonar21.com,096f256d-d122-4bfa-8b55-21aa2b73ec53,0c2d5d80-bcd6-4dba-a855-4266bd12bf02
TheCritic,Mirror,https://TheCritic.co.uk,fed8ee9d-e9db-419c-9e57-bf73f8ba556a,1a87c0a5-e687-4b1b-8d0f-7b22bb1cac40
ActivistPost,Mirror,https://www.ActivistPost.com,2f795523-9f72-44d6-8cdb-f035c7a3d450,052844d1-4e91-454f-af75-7375a6e4987a
AnonymousConservative,Mirror,https://www.AnonymousConservative.com/blog,a2598044-15fa-4609-95fa-6c302744da6a,b7c02db5-1016-4d0d-a580-57e7bc29d49b
ExposeNews,Mirror,https://Expose-News.com,ee88920a-0bf5-43e0-9f45-c4e05bd02a6a,6f57fdbb-eb31-40c5-995e-19612ce83f2a
SouthFront,Mirror,https://SouthFront.org,bd66cd03-b8dc-43ab-8a9c-0d9b35176688,c7df422b-c2ee-4475-a587-310bfb71a4cd
RedVoiceMedia,Mirror,https://www.RedVoiceMedia.com,14b38042-cd99-4ce5-ad7e-5e9ea4c18bc5,46310013-de8c-4f98-a68e-cfbb066f424f
FreeWestMedia,Mirror,https://FreeWestMedia.com,ce92a61d-f709-4d4f-9bb0-df24b56dddfa,370bf2b4-8852-4779-81a1-14ba99f599bd
AmericanMediaPeriscope,Mirror,https://AmericanMediaPeriscope.com,fbc6c58f-8baa-491c-8c33-b6cd59c73c80,ca47b2f4-30ab-4e4f-b969-b1e2e7af555f
AlphaNews,Mirror,https://AlphaNews.org,60320412-c888-42e8-8f36-8e7bfdc70f67,9fab0407-2c84-4f06-b10f-2d325c25ffc5
AnnBarnhardt,Mirror,https://www.Barnhardt.biz,a31e6816-4aa9-420c-a993-ba629eba4e35,c8a8333a-d2f4-4298-9c1a-b1e6c5a7c02a
BeartariaTimes,Mirror,https://BeartariaTimes.com,84e163e2-bd6e-45f9-b905-1430f73bc969,85e1892c-be21-4d4d-a22b-0a390d5b9dee
ComicsGate,Mirror,https://ComicsGate.org,5e00232b-5cfd-4b10-8ab4-55d4e280e223,1ffe3d9d-4f8d-4b8d-a8f5-6f4aad4ff5d3
BoundingIntoComics,Mirror,https://BoundingIntoComics.com,46f19e98-2c22-4c26-b1dd-6127b026e82d,09d037f5-4e3e-4dbc-bdd3-de75db93acf9
TheGatewayPundit,Mirror,https://TheGatewayPundit.com,72152f52-498c-4aac-ad58-5aab1dc6742a,bc8818f7-8cfd-4b0f-b78e-eb713af18738
ConservativeBrief,Mirror,https://ConservativeBrief.com,304cef6d-eea0-44f0-b38e-ac7c59884b22,f904610d-6926-4925-b9c1-fa2a1a51856f
ConsortiumNews,Mirror,https://ConsortiumNews.com,8a27fc88-dfb2-4cd9-b650-eaa1341d509d,5dc401e9-855a-4893-b0da-43ceb121ef6f
EnVolve,Mirror,https://En-Volve.com,569500ac-d295-4efb-8668-e90e55200091,78a26556-82c1-488e-8f5b-3938cccfed95
Forward,Mirror,https://Forward.com,ba8a802d-f1c7-45e4-9104-76bff78e1954,4621825e-5c48-4d03-b3f6-084ea96fe616
IridaTV,Mirror,https://Irida.tv,23c984fa-fdb0-43c7-a27f-6216306eb193,f1db687b-97aa-4926-8de7-043e4af3fc72
MichaelHudson,Mirror,https://Michael-Hudson.com,061e1ca4-2959-4050-b9f4-962bc21187f2,c99bf94a-34d0-4350-9546-b3a31512b5c7
MintPressNews,Mirror,https://www.MintPressNews.com,aed1e473-d139-41ad-8780-e53d36f47d73,16dbe3a2-c0c4-450d-b8d0-1f168ec3b90a
MonsterHunterNation,Mirror,https://MonsterHunterNation.com,93e44d7a-932e-4986-810f-9d2b3af6e196,c8ad09ee-76bd-4dd4-843d-b6dedf27b908
NewsPunch,Mirror,https://NewsPunch.com,76af8c49-3453-46f1-adb6-34f9bff1ca39,ff9cfcb2-847e-4817-8902-ca83e94d5131
PalladiumMag,Mirror,https://PalladiumMag.com,2fe8a1c7-21fb-4f9e-89eb-428a0d06e3da,ca242623-3415-429d-8322-edd3128d9514
PopularResistance,Mirror,https://PopularResistance.org,24c5017b-75ab-4c62-8937-818f70677a92,c068da27-6ea5-44a1-ae58-79047f025290
Rintrah.NL,Mirror,https://www.Rintrah.nl,f7bbb1e8-aa8a-4546-be48-542aa64a2ddf,fdb02662-f7c0-474f-b07a-58427a4bd076
TaskAndPurpose,Mirror,https://TaskAndPurpose.com,a945e5fa-9600-499f-96a8-68b5efdfd6a0,dcba1a92-ed80-401a-ba1d-1ca9f8313c3e
TheLastAmericanVagabond,Mirror,https://www.TheLastAmericanVagabond.com,323d7b0a-7319-47bb-ad7c-6e832650d48f,88fbb57b-a2b0-40ab-950c-309ae2db835a
TheConservativeTreehouse,Mirror,https://TheConservativeTreehouse.com,c17be00c-1ee0-4c8e-b9ee-0bd2c44504e2,a75f5bc1-1b21-44a0-b91f-46b0f86cc3c7
TheDreizinReport,Mirror,https://TheDreizinReport.com,70756407-3559-473d-9d4e-b5d5650010e3,c0191248-c230-405e-a13b-6813db20989f
